name,placeType,city,state,country,rating,reviewsNumber,hostedBy,guestNum,bedroomNum,bedNum,bathNum,cleanliness,accuracy,communication,location,checkIn,Value,full_location,hostJoined,pricePerNight,ID,url,page
Casco de Hacienda Santa Rita with 8 rooms,Ranch,NA,NA,NA,4.0,3,,16,8,8,8,4.7,4.0,4.3,5.0,5.0,4.3,"Pachuca de Soto, Hidalgo, Mexico",2022,327,214,https://airbnb.com/rooms/712213191580099252?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-20&check_out=2023-10-25&source_impression_id=p3_1697748280_WE35qTOr2%2FCBUGcl&previous_page_section_name=1000&federated_search_id=8500b600-a016-4306-af2c-03c1eaff7f1f,12
"AXTLI - Akko
Hospedaje natural","Room in Omitlán de Juárez, Mexico",NA,NA,NA,4.73,49,,1,Shared,Shared,,4.9,4.7,4.9,4.5,4.2,4.8,"Omitlán de Juárez, Hidalgo, Mexico",,44,215,https://airbnb.com/rooms/628485647259963149?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1402138649&check_in=2024-01-01&check_out=2024-01-06&source_impression_id=p3_1697748280_dfdgU1hwn1n0zRom&previous_page_section_name=1000&federated_search_id=8500b600-a016-4306-af2c-03c1eaff7f1f,12
Cabins in Hidalgo,Nature lodge,NA,NA,NA,4.43,7,Citlalli Benedicta,4,1,1,1,4.1,4.1,4.4,4.7,4.4,4.3,"Omitlán de Juárez (Hidalgo), Hidalgo, Mexico",2017,66,216,https://airbnb.com/rooms/34690058?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-21&check_out=2023-10-26&source_impression_id=p3_1697748280_qjy37qYuDKudwBAl&previous_page_section_name=1000&federated_search_id=8500b600-a016-4306-af2c-03c1eaff7f1f,13
Cabaña Imperial Real del Monte 8,Entire cabin,Mineral del Monte,Hidalgo,Mexico,,,Juan,4,2,2,1,,,,,,,"Mineral del Monte, Hidalgo, Mexico",2020,99,217,https://airbnb.com/rooms/832748360724901055?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-19&check_out=2023-10-24&source_impression_id=p3_1697748294_ciMUowQojVV3iJt5&previous_page_section_name=1000&federated_search_id=d67da77b-8199-4ccc-9ca6-d35e392b7816,13
Cabaña Imperial Real del Monte 4,Entire cabin,Mineral del Monte,Hidalgo,Mexico,,,,4,2,2,1,,,,,,,"Mineral del Monte, Hidalgo, Mexico",2020,88,218,https://airbnb.com/rooms/832737624818402550?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-19&check_out=2023-10-24&source_impression_id=p3_1697748294_UdoEaNNvZb7DkBJV&previous_page_section_name=1000&federated_search_id=d67da77b-8199-4ccc-9ca6-d35e392b7816,13
Cabaña Imperial Real del Monte 6,Entire cabin,Mineral del Monte,Hidalgo,Mexico,,,Juan,4,2,2,1,,,,,,,"Mineral del Monte, Hidalgo, Mexico",2020,99,219,https://airbnb.com/rooms/793795591389427174?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-19&check_out=2023-10-24&source_impression_id=p3_1697748294_%2B8euXxNbZb14BbVM&previous_page_section_name=1000&federated_search_id=d67da77b-8199-4ccc-9ca6-d35e392b7816,13
Rincon de Las Estrellas Garden Lodge,Room in a nature lodge,NA,NA,NA,,,Rubén Eduardo,4,1,1,,,,,,,,"Omitlán de Juárez (Hidalgo), Mexico",2016,55,220,https://airbnb.com/rooms/34688840?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-19&check_out=2023-10-24&source_impression_id=p3_1697748294_%2FW6iy0I%2BrR4sqeZr&previous_page_section_name=1000&federated_search_id=d67da77b-8199-4ccc-9ca6-d35e392b7816,13
Cabana Capricho in Velillo,Entire cabin,Mineral del Monte,Hidalgo,Mexico,,,Javier,2,1,1,1,,,,,,,"Mineral del Monte, Hidalgo, Mexico",2018,77,221,https://airbnb.com/rooms/806577366026793153?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-01&check_out=2024-01-06&source_impression_id=p3_1697748294_Cnh5oRii7nntMdlY&previous_page_section_name=1000&federated_search_id=d67da77b-8199-4ccc-9ca6-d35e392b7816,13
Super house in Real del Monte,Entire home,NA,NA,NA,,,,10,4,4,6.5,,,,,,,"Mineral del Monte, Hidalgo, Mexico",2014,"1,104",222,https://airbnb.com/rooms/776335281414901967?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-20&check_out=2023-10-25&source_impression_id=p3_1697748294_WsyLdoaa9jAtNhQP&previous_page_section_name=1000&federated_search_id=d67da77b-8199-4ccc-9ca6-d35e392b7816,13
"La Roca Cabin in Real del Monte, Hidalgo",Entire cabin,NA,NA,NA,5.0,5,Cabañas,8,2,2,1.5,5.0,4.8,5.0,4.8,5.0,4.8,"Barrio De Escobar, Hidalgo, Mexico",2021,103,223,https://airbnb.com/rooms/54083072?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-04-01&check_out=2024-04-06&source_impression_id=p3_1697748294_zY9KjFkA8OVxvi7D&previous_page_section_name=1000&federated_search_id=d67da77b-8199-4ccc-9ca6-d35e392b7816,13
